source_pdf,source_date,list_kind,pages,arbitration_hits
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_62c1669b41.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_c6795e8157.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_1_e830f469f1.pdf,2026-02-27,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_2_5c46b2e4ed.pdf,2026-02-27,supplementary_2,1,0
raw_appellate_cl/pdfs/2026-02-27_supplementary_2_a8f9370bd1.pdf,2026-02-27,supplementary_2,1,0
raw_appellate_cl/pdfs/2026-03-02_supplementary_1_de20d43c8d.pdf,2026-03-02,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-02_supplementary_1_ff33ed2fb0.pdf,2026-03-02,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-05_daily_2cb6388a4f.pdf,2026-03-05,daily,461,424
raw_appellate_cl/pdfs/2026-03-05_supplementary_1_641eb5f5ce.pdf,2026-03-05,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-06_daily_9f4bc2d990.pdf,2026-03-06,daily,414,263
raw_appellate_cl/pdfs/2026-03-06_supplementary_1_56408eccd5.pdf,2026-03-06,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-06_supplementary_1_c931582b42.pdf,2026-03-06,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-09_daily_27c3268708.pdf,2026-03-09,daily,470,417
raw_appellate_cl/pdfs/2026-03-09_supplementary_1_0e60f028d8.pdf,2026-03-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-09_supplementary_1_23b148bc73.pdf,2026-03-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-09_supplementary_1_2451a1f6e4.pdf,2026-03-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-09_supplementary_1_dacc00df2e.pdf,2026-03-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-09_supplementary_1_e36497a0c7.pdf,2026-03-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-09_supplementary_1_fd591659a2.pdf,2026-03-09,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-10_daily_65d47e8c1a.pdf,2026-03-10,daily,462,463
raw_appellate_cl/pdfs/2026-03-10_supplementary_1_683ea12da4.pdf,2026-03-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-10_supplementary_1_6a1a9819dd.pdf,2026-03-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-10_supplementary_1_b2b041ca3e.pdf,2026-03-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-10_supplementary_1_c408a53efe.pdf,2026-03-10,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-11_daily_69ca3a4bb1.pdf,2026-03-11,daily,436,431
raw_appellate_cl/pdfs/2026-03-11_supplementary_1_07058c75db.pdf,2026-03-11,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-12_daily_c60dd3a98b.pdf,2026-03-12,daily,459,351
raw_appellate_cl/pdfs/2026-03-12_supplementary_1_503334c373.pdf,2026-03-12,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-13_daily_9a3e38edbf.pdf,2026-03-13,daily,430,279
raw_appellate_cl/pdfs/2026-03-16_daily_f20fca5256.pdf,2026-03-16,daily,457,444
raw_appellate_cl/pdfs/2026-03-17_daily_258b204324.pdf,2026-03-17,daily,460,452
raw_appellate_cl/pdfs/2026-03-17_supplementary_1_ead589b3db.pdf,2026-03-17,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-18_daily_e2d39a25da.pdf,2026-03-18,daily,421,388
raw_appellate_cl/pdfs/2026-03-18_supplementary_1_5b4a7de308.pdf,2026-03-18,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-18_supplementary_1_dd6b1ea542.pdf,2026-03-18,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-19_daily_97ef62223c.pdf,2026-03-19,daily,464,436
raw_appellate_cl/pdfs/2026-03-19_supplementary_1_2c927ebb31.pdf,2026-03-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-19_supplementary_1_5bb365efe7.pdf,2026-03-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-19_supplementary_1_bea79d7d90.pdf,2026-03-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-19_supplementary_1_f394dc0735.pdf,2026-03-19,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-20_daily_4426af8666.pdf,2026-03-20,daily,422,308
raw_appellate_cl/pdfs/2026-03-20_supplementary_1_578d01c0a3.pdf,2026-03-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-20_supplementary_1_99c981ee37.pdf,2026-03-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-20_supplementary_1_e14d80af97.pdf,2026-03-20,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-23_daily_39287c35df.pdf,2026-03-23,daily,433,415
raw_appellate_cl/pdfs/2026-03-24_daily_e82d3f64c6.pdf,2026-03-24,daily,478,420
raw_appellate_cl/pdfs/2026-03-24_supplementary_1_7a51fc60c3.pdf,2026-03-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-24_supplementary_1_c8c397ae65.pdf,2026-03-24,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-25_daily_9c70d02b78.pdf,2026-03-25,daily,478,408
raw_appellate_cl/pdfs/2026-03-25_supplementary_1_912f1c2fed.pdf,2026-03-25,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-25_supplementary_1_aa03799cd2.pdf,2026-03-25,supplementary_1,1,0
raw_appellate_cl/pdfs/2026-03-27_daily_5dcb310351.pdf,2026-03-27,daily,494,311
raw_appellate_cl/pdfs/2026-03-27_supplementary_1_44b4b82f1a.pdf,2026-03-27,supplementary_1,1,0
